Frequence_de_visite,Montant_moyen_mensuel,Duree_moyenne_visite,Paiement_prefere,Produit_majoritaire,Carte_fidelite,Achats_en_ligne,Moment_courses
7,278.10212789141275,38.33422433170253,Carte,Textile,Oui,Non,Matin
4,193.55244997539126,10.0,Carte,Hygiène,Non,Non,Soir
11,431.80984980558475,65.76890846265682,Carte,Multimédia,Oui,Oui,Apres-midi
8,335.17991115937554,33.33377168080232,Carte,Bricolage,Oui,Oui,Apres-midi
5,231.05182689463803,14.750782999523619,Especes,Textile,Non,Oui,Weekend
7,301.35027152815616,25.185532367359112,Carte,Textile,Oui,Oui,Weekend
10,475.1842075896143,34.54402843031633,Carte,Multimédia,Oui,Non,Apres-midi
3,95.49539748793622,10.0,Especes,Alimentation,Non,Non,Weekend
7,307.2311725996053,26.852881188245327,Especes,Bricolage,Oui,Non,Apres-midi
11,317.3395282850692,46.461593213708646,Especes,Textile,Oui,Non,Apres-midi
11,459.4907616109948,40.3809643266188,Carte,Bricolage,Oui,Non,Apres-midi
8,301.1288372737122,43.77193218889009,Carte,Textile,Oui,Oui,Matin
5,186.6904528000868,28.875956050135194,Carte,Bricolage,Non,Oui,Weekend
4,154.78787265043238,23.242839875510413,Carte,Hygiène,Non,Non,Soir
8,383.0823194160253,35.31721204173634,Especes,Textile,Oui,Non,Soir
8,290.9193816336788,20.90834837845842,Especes,Bricolage,Oui,Oui,Weekend
3,78.28828478861828,10.0,Especes,Alimentation,Non,Oui,Apres-midi
6,283.22998374731515,22.934837098085094,Especes,Hygiène,Non,Non,Soir
5,205.79125769329227,15.406140172909506,Carte,Hygiène,Non,Non,Soir
2,131.5172080039348,10.0,Especes,Alimentation,Non,Oui,Weekend
8,262.539997406662,41.24137834714049,Carte,Bricolage,Oui,Non,Soir
12,521.6879563417252,29.453871312150085,Carte,Multimédia,Oui,Non,Apres-midi
6,283.1352565020282,33.909134492427874,Carte,Alimentation,Non,Oui,Weekend
2,128.22554873069097,12.143016092605873,Carte,Bricolage,Non,Oui,Apres-midi
12,550.3514122239217,51.58859469809435,Carte,Alimentation,Oui,Non,Soir
5,193.51406410934754,13.80984638609199,Mobile,Alimentation,Non,Non,Soir
1,50.0,10.0,Carte,Textile,Non,Oui,Apres-midi
12,412.7850086068697,37.76371958521506,Carte,Bricolage,Oui,Non,Matin
10,455.7169086949448,43.35426405728644,Carte,Multimédia,Oui,Non,Soir
6,269.6886722440526,26.34638775073876,Especes,Textile,Non,Non,Matin
12,496.8979079608762,45.57647647525101,Carte,Alimentation,Oui,Non,Soir
9,378.71743446944635,40.44243204760817,Especes,Alimentation,Oui,Non,Matin
1,50.0,10.0,Carte,Alimentation,Non,Non,Matin
11,439.1180314433312,42.085714759420966,Especes,Bricolage,Oui,Non,Matin
11,442.92548592721164,32.713805323101944,Carte,Bricolage,Oui,Non,Apres-midi
10,410.2426444527353,33.41664408734054,Especes,Textile,Oui,Non,Matin
12,532.4123670258217,61.73759477342823,Especes,Multimédia,Oui,Non,Matin
12,460.4460392608156,51.11095581049949,Carte,Textile,Oui,Oui,Matin
3,144.46649028943284,10.0,Carte,Hygiène,Non,Non,Soir
12,347.7393572938697,42.54271408239252,Carte,Alimentation,Oui,Non,Matin
7,327.38854549542333,35.43468054518737,Carte,Alimentation,Oui,Oui,Soir
4,166.06219198517502,17.95383140155286,Carte,Alimentation,Non,Non,Matin
9,358.2188154474597,36.0595397650173,Especes,Textile,Oui,Non,Matin
3,97.18090189772681,10.0,Carte,Textile,Non,Oui,Apres-midi
5,194.20220542821758,30.4098298009875,Carte,Alimentation,Non,Oui,Soir
3,120.81848467900572,10.0,Carte,Textile,Non,Oui,Matin
7,175.47224263692422,31.026359429681907,Carte,Bricolage,Oui,Oui,Soir
5,160.11770943617506,10.0,Especes,Bricolage,Non,Non,Soir
9,415.2081610015383,40.00170835897124,Carte,Textile,Oui,Oui,Weekend
7,258.48521768841,30.981071035218513,Especes,Alimentation,Oui,Non,Apres-midi
2,91.54955489173437,11.521431685188885,Especes,Textile,Non,Non,Apres-midi
4,112.57526118122799,14.634959525550578,Especes,Textile,Non,Non,Apres-midi
9,270.0334917804975,45.52888612508597,Especes,Textile,Oui,Non,Weekend
12,439.0880786759612,56.01534196838327,Carte,Hygiène,Oui,Oui,Weekend
2,62.7493260836614,10.0,Mobile,Bricolage,Non,Non,Apres-midi
10,298.6340290102438,36.9747912695167,Carte,Multimédia,Oui,Oui,Weekend
9,407.1018080941476,42.85174178570968,Carte,Multimédia,Oui,Non,Weekend
10,462.7930758306229,35.814412900404456,Especes,Hygiène,Oui,Non,Weekend
5,234.79291466829582,20.272232475408032,Mobile,Textile,Non,Oui,Apres-midi
2,50.601482859725394,10.0,Especes,Hygiène,Non,Oui,Apres-midi
4,181.16715798579958,27.2744916026893,Carte,Hygiène,Non,Non,Apres-midi
12,426.7849310453018,59.64384666435291,Carte,Alimentation,Oui,Non,Weekend
12,438.5927412693114,51.008797404044685,Mobile,Bricolage,Oui,Non,Apres-midi
7,337.047576021247,10.0,Carte,Multimédia,Oui,Oui,Weekend
12,439.6198983491792,46.390999503302545,Especes,Textile,Oui,Non,Matin
8,269.79568303655464,34.316668710308385,Especes,Multimédia,Oui,Oui,Weekend
3,125.54521424843803,10.0,Carte,Multimédia,Non,Non,Soir
1,54.747904605096494,10.0,Carte,Bricolage,Non,Non,Apres-midi
4,197.5664042549389,13.560527532772806,Carte,Multimédia,Non,Non,Apres-midi
2,50.0,10.0,Carte,Multimédia,Non,Non,Soir
8,293.3950616863994,33.020965807871164,Especes,Hygiène,Oui,Oui,Weekend
4,147.01430875556798,19.38013191234192,Carte,Bricolage,Non,Non,Matin
2,71.74760468898161,10.0,Especes,Alimentation,Non,Non,Soir
6,212.31030119791848,24.371755025439906,Carte,Textile,Non,Oui,Soir
6,196.20355049362388,12.454289265625281,Mobile,Multimédia,Non,Non,Weekend
10,424.2053745474093,46.067175419388526,Carte,Textile,Oui,Oui,Apres-midi
4,185.07758229997992,19.589755577156858,Carte,Alimentation,Non,Non,Weekend
6,261.8145372021446,20.892709973474847,Carte,Textile,Non,Non,Soir
2,90.85036549880999,10.0,Especes,Alimentation,Non,Non,Soir
10,442.57108640799424,40.88350231599437,Especes,Hygiène,Oui,Oui,Apres-midi
12,421.5926601018663,52.76427876957063,Especes,Multimédia,Oui,Non,Apres-midi
2,136.7142249062486,10.0,Carte,Alimentation,Non,Non,Apres-midi
10,474.57264171396025,37.868439548814166,Carte,Textile,Oui,Non,Weekend
4,155.10660341374754,16.28470412905517,Carte,Multimédia,Non,Non,Apres-midi
8,328.523861132538,28.66850759017985,Carte,Hygiène,Oui,Oui,Soir
7,246.68671243883475,30.692670437312266,Carte,Multimédia,Oui,Non,Soir
12,612.5185142845199,45.6935172646452,Mobile,Alimentation,Oui,Non,Matin
9,345.7917334316363,40.04820365800423,Mobile,Hygiène,Oui,Non,Weekend
8,286.42285920969954,23.893194044339392,Mobile,Textile,Oui,Non,Matin
5,188.31323639866542,19.50427510041324,Especes,Hygiène,Non,Non,Soir
2,93.92787014899814,10.0,Carte,Hygiène,Non,Non,Matin
5,180.3783378543787,13.692526919783361,Carte,Bricolage,Non,Non,Soir
8,322.900598644197,37.83060834079707,Carte,Hygiène,Oui,Oui,Matin
10,374.1626499754991,41.728586823126,Especes,Hygiène,Oui,Oui,Apres-midi
9,339.8442967569022,27.529252586965654,Carte,Multimédia,Oui,Oui,Matin
12,487.12650832236454,49.281389994148576,Carte,Textile,Oui,Oui,Apres-midi
12,500.7788584679722,48.0415765112931,Carte,Multimédia,Oui,Non,Apres-midi
12,507.4028522250434,38.77429081686087,Carte,Multimédia,Oui,Non,Weekend
9,384.73010004406154,37.588889797471765,Especes,Alimentation,Oui,Non,Apres-midi
1,50.0,10.0,Especes,Multimédia,Non,Non,Apres-midi
9,372.3554794782172,35.412013615445375,Carte,Bricolage,Oui,Non,Matin
